,0,1,2
267,2019-11-17,8577.98,8896.97960800949
268,2019-11-18,8309.29,8708.079446142634
269,2019-11-19,8206.15,8386.984042193591
270,2019-11-20,8027.27,8133.396212356113
271,2019-11-21,7642.75,8099.605571410079
272,2019-11-22,7296.58,7696.367734127994
273,2019-11-23,7397.8,6990.172867859876
274,2019-11-24,7047.92,7308.331531253944
275,2019-11-25,7146.13,6802.8284032688725
276,2019-11-26,7218.37,6899.826740131502
277,2019-11-27,7531.66,6956.593076827183
278,2019-11-28,7463.11,7585.9931487598415
279,2019-11-29,7761.24,7487.347820344565
280,2019-11-30,7569.63,7985.046746035712
281,2019-12-01,7424.29,7612.8509382799075
282,2019-12-02,7321.99,7456.5196313540755
283,2019-12-03,7320.15,7254.385174503568
284,2019-12-04,7252.03,7423.122506771331
285,2019-12-05,7448.31,7284.429221221496
286,2019-12-06,7547.0,7342.015963409536
287,2019-12-07,7556.24,7464.260900889664
288,2019-12-08,7564.35,7352.031127477784
289,2019-12-09,7400.9,7480.965677242041
290,2019-12-10,7278.12,7415.788625083076
291,2019-12-11,7217.43,7239.006933337486
292,2019-12-12,7243.13,7012.144865080057
293,2019-12-13,7269.68,7260.538663161165
294,2019-12-14,7124.67,7245.245195026437
295,2019-12-15,7152.3,7138.777815386687
296,2019-12-16,6932.48,7225.327613864565
297,2019-12-17,6640.52,7043.191892934503
298,2019-12-18,7276.8,6634.986805713426
299,2019-12-19,7202.84,7299.84825909969
300,2019-12-20,7218.82,6920.860040096349
301,2019-12-21,7191.16,7028.717526494292
302,2019-12-22,7511.59,6922.274166797576
303,2019-12-23,7355.63,7636.553458712057
304,2019-12-24,7322.53,7424.787166395121
305,2019-12-25,7275.16,7501.675130566152
306,2019-12-26,7238.97,7459.310798750233
307,2019-12-27,7290.09,7311.516967827394
308,2019-12-28,7317.99,7372.304404444867
309,2019-12-29,7422.65,7080.139171041051
310,2019-12-30,7293.0,7551.30124277883
311,2019-12-31,7193.6,7251.274864219545
312,2020-01-01,7200.17,7402.293497222457
313,2020-01-02,6985.47,6966.8957029498515
314,2020-01-03,7344.88,6810.997857734404
315,2020-01-04,7410.66,7088.339535953916
316,2020-01-05,7411.32,7199.5157906277645
317,2020-01-06,7769.22,7385.719597281984
318,2020-01-07,8163.69,8067.624793990543
319,2020-01-08,8079.86,8327.474244346355
320,2020-01-09,7879.07,8244.209538964493
321,2020-01-10,8166.55,8100.1200264955805
322,2020-01-11,8037.54,8351.24201913979
323,2020-01-12,8192.49,7932.491733784547
324,2020-01-13,8144.19,8258.591300308904
325,2020-01-14,8827.76,8154.783892910841
326,2020-01-15,8807.01,8809.656505545114
327,2020-01-16,8723.79,8754.174748725694
328,2020-01-17,8929.04,8659.905975696674
329,2020-01-18,8942.81,8778.89887263687
330,2020-01-19,8706.25,8689.592491056828
331,2020-01-20,8657.64,8865.170327495343
332,2020-01-21,8745.89,8506.066372486992
333,2020-01-22,8680.88,8894.02355849477
334,2020-01-24,8445.43,8785.090508036097
335,2020-01-25,8367.85,8727.944757985304
336,2020-01-26,8596.83,8267.90207542017
337,2020-01-27,8909.82,8741.850778261989
338,2020-01-28,9358.59,8730.283787646284
339,2020-01-29,9316.63,9096.925618397661
340,2020-01-30,9508.99,9037.442668619165
341,2020-01-31,9350.53,9505.857164904166
342,2020-02-01,9392.88,9288.24063492617
343,2020-02-02,9344.37,9599.135130174036
344,2020-02-03,9293.52,9394.583991190593
345,2020-02-04,9180.96,9426.722020316261
346,2020-02-05,9613.42,9309.48002857864
347,2020-02-06,9729.8,9741.774081401345
348,2020-02-07,9795.94,9743.74000613589
349,2020-02-08,9865.12,9602.339402259451
350,2020-02-09,10116.67,9846.740880383899
351,2020-02-10,9856.61,10000.706758066415
352,2020-02-11,10208.24,9549.29606565047
353,2020-02-12,10326.05,10015.949988844684
354,2020-02-13,10214.38,10281.711282062282
355,2020-02-14,10312.12,10109.374163307522
356,2020-02-15,9889.42,10514.78946973283
357,2020-02-16,9934.43,10170.288018929205
358,2020-02-17,9690.14,10322.166018747179
359,2020-02-18,10142.0,9532.159315283589
360,2020-02-19,9633.39,10431.822396431337
361,2020-02-20,9608.48,9213.868558120867
362,2020-02-21,9686.44,9682.682489676714
363,2020-02-22,9663.18,9349.859845609368
364,2020-02-23,9924.52,9576.935735795218
365,2020-02-24,9650.17,9634.047711627583
366,2020-02-25,9341.71,9496.565597532091
367,2020-02-26,8820.52,9421.084075329385
368,2020-02-27,8784.49,8701.167372789456
369,2020-02-28,8672.46,9147.439606975138
370,2020-02-29,8599.51,8707.95920505662
371,2020-03-01,8562.45,8637.24354062623
372,2020-03-02,8869.67,8577.39700908168
373,2020-03-03,8787.79,9013.403716751822
374,2020-03-04,8755.25,8549.807622896595
375,2020-03-05,9078.76,8450.96010595524
376,2020-03-06,9122.55,8900.241768418487
377,2020-03-07,8909.95,8962.42314713954
378,2020-03-08,8108.12,8443.391837853313
379,2020-03-09,7923.64,8307.638445105353
380,2020-03-10,7909.73,8080.118347201276
381,2020-03-11,7911.43,8230.00450937794
382,2020-03-12,4970.79,8012.69258327041
383,2020-03-13,5563.71,5129.577367428626
384,2020-03-14,5200.37,5685.159021680984
385,2020-03-15,5392.31,4989.167356239472
386,2020-03-16,5014.48,5151.283362624007
387,2020-03-17,5225.63,3997.207159153434
388,2020-03-18,5238.44,5106.198872415162
389,2020-03-19,6191.19,4985.334248445727
390,2020-03-20,6198.78,6083.511106929608
391,2020-03-21,6185.07,6117.181556006469
392,2020-03-22,5830.25,6220.559987669608
393,2020-03-23,6416.31,6031.641433406866
394,2020-03-24,6734.8,7147.365125842001
395,2020-03-25,6681.06,7205.656061177259
396,2020-03-26,6716.44,7125.919962305267
397,2020-03-27,6469.8,6833.005486165698
398,2020-03-28,6242.19,6696.12504830672
399,2020-03-29,5922.04,5700.973138770088
400,2020-03-30,6429.84,5462.009486244696
401,2020-03-31,6438.64,6007.729646822201
402,2020-04-01,6606.78,5654.697673694238
403,2020-04-02,6793.62,6560.028050448875
404,2020-04-03,6733.39,6586.8681445737475
405,2020-04-04,6867.53,7348.198012951208
406,2020-04-05,6791.13,6906.005490013186
407,2020-04-06,7271.78,7183.415917087631
408,2020-04-07,7176.41,7518.731632406067
409,2020-04-08,7334.1,7575.7407837643805
410,2020-04-09,7302.09,7576.369046118749
411,2020-04-10,6865.49,7323.617732460813
412,2020-04-11,6859.08,6686.018638348293
413,2020-04-12,6971.09,6814.762609881517
414,2020-04-13,6845.04,6934.536923223325
415,2020-04-14,6842.43,6262.594017918554
416,2020-04-15,6642.11,6640.519881824257
417,2020-04-16,7116.8,6680.937804357647
418,2020-04-17,7096.18,7405.232197169993
419,2020-04-18,7257.66,7047.933578663092
420,2020-04-19,7189.42,7888.270405250984
421,2020-04-20,6881.96,6705.571678525865
422,2020-04-21,6880.32,7565.288623865256
423,2020-04-22,7117.21,6797.634815109924
424,2020-04-23,7429.72,7253.572739253516
425,2020-04-24,7550.9,6951.61406560533
426,2020-04-25,7569.94,7360.634058627334
427,2020-04-26,7679.87,7543.740883825034
428,2020-04-27,7795.6,7661.777817662969
429,2020-04-28,7807.06,7857.416514825353
430,2020-04-29,8801.04,7395.203075858861
431,2020-04-30,8658.55,9222.005480829743
432,2020-05-01,8864.77,8639.691239880241
433,2020-05-02,8988.6,9328.125308947307
434,2020-05-03,8897.47,8911.77004299159
435,2020-05-04,8912.65,9485.135324760726
436,2020-05-05,9003.07,8693.68683390459
437,2020-05-06,9268.76,9207.695668057986
